route_id,yyyy,mm,dd,start_hh,start_mm,end_hh,end_mm,no_observers
65023,2026,6,14,04,59,10,23,2
56042,2026,6,6,05,20,11,05,1
65023,2025,6,5,04,58,10,20,1
65023,2024,6,2,04,58,09,48,2
65023,2023,6,11,04,58,09,47,2
65023,2022,6,12,04,58,09,45,2
65023,2019,6,09,04,58,09,50,2
65023,2018,6,10,05,04,09,36,2
65023,2017,6,10,05,01,10,00,2
65023,2016,6,10,04,58,09,38,2
65023,2015,6,21,05,00,10,20,2
